# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
c786c822000000008040	mov dword ptr [esi + 22C8h], 40800000h
8986b8220000	mov dword ptr [esi + 22B8h], eax
c786b022000000002040	mov dword ptr [esi + 22B0h], 40200000h
c786b422000000006040	mov dword ptr [esi + 22B4h], 40600000h
89beac220000	mov dword ptr [esi + 22ACh], edi
8996a4220000	mov dword ptr [esi + 22A4h], edx
898ee8220000	mov dword ptr [esi + 22E8h], ecx
898ee4220000	mov dword ptr [esi + 22E4h], ecx
8986d4220000	mov dword ptr [esi + 22D4h], eax
8b86e4000000	mov eax, dword ptr [esi + 0E4h]
c786d822000000008040	mov dword ptr [esi + 22D8h], 40800000h
899edc220000	mov dword ptr [esi + 22DCh], ebx
c786a822000000002040	mov dword ptr [esi + 22A8h], 40200000h
c7869822000002000000	mov dword ptr [esi + 2298h], 2
c7869c2200000000a040	mov dword ptr [esi + 229Ch], 40A00000h
c786a02200000000c842	mov dword ptr [esi + 22A0h], 42C80000h
66899ed0220000	mov word ptr [esi + 22D0h], bx
899e68220000	mov dword ptr [esi + 2268h], ebx
c7866c220000a4707d3f	mov dword ptr [esi + 226Ch], 3F7D70A4h
899e5c220000	mov dword ptr [esi + 225Ch], ebx
899e54220000	mov dword ptr [esi + 2254h], ebx
89be60220000	mov dword ptr [esi + 2260h], edi
899e681d0000	mov dword ptr [esi + 1D68h], ebx
898684020000	mov dword ptr [esi + 284h], eax
899e8c230000	mov dword ptr [esi + 238Ch], ebx
6a3c	push 3Ch
c645fc10	mov byte ptr [ebp - 4], 10h
89868c230000	mov dword ptr [esi + 238Ch], eax
b8cdcc4c3d	mov eax, 3D4CCCCDh
68c8000000	push 0C8h
899e70230000	mov dword ptr [esi + 2370h], ebx
89be74230000	mov dword ptr [esi + 2374h], edi
898678230000	mov dword ptr [esi + 2378h], eax
89867c230000	mov dword ptr [esi + 237Ch], eax
898e80230000	mov dword ptr [esi + 2380h], ecx
c786842300000000a042	mov dword ptr [esi + 2384h], 42A00000h
c78668230000cdcc4c3e	mov dword ptr [esi + 2368h], 3E4CCCCDh
c7866c2300003333333f	mov dword ptr [esi + 236Ch], 3F333333h
c786902300000000a041	mov dword ptr [esi + 2390h], 41A00000h
c786942300006666a63f	mov dword ptr [esi + 2394h], 3FA66666h
89be98230000	mov dword ptr [esi + 2398h], edi
899e40230000	mov dword ptr [esi + 2340h], ebx
899e44230000	mov dword ptr [esi + 2344h], ebx
899e48230000	mov dword ptr [esi + 2348h], ebx
899e6c1d0000	mov dword ptr [esi + 1D6Ch], ebx
